"publishedDate","title","text","rating"
"2018-11-13","soluzione adatta per l'europa e non per l'america","Starbucks non lo consiglio completamente a chi si trova a NY o in America. Lo consiglio a coloro che si trovano in Europa in quanto è un ottimo bar, ma rispetto a tutti gli altri bar che servono gli stessi prodotti, la qualità la ritengo inferiore. Ad ed. Dunkin Donuts serve molti prodotti simili, ma la bontà e la qualità è molto migliore.","3"
"2018-11-12","Es starbuck","La atención buena, la calidad la que ya conocemos de starbuck, muchos souvenirs, y gran variedad de productos para comer!!","4"
"2018-11-04","Great coffee early morning!","As you'd expect with Starbucks - Very good service!
Only small thing was they didn't have change for a fifty. But then again I was in pretty early. Otherwise, it was what you'd expect 👌","5"
"2018-10-16","Atendente sem educação e sem paciência!","Fui fazer meu pedido e o atendente do caixa falava extremamente rápido e ""para dentro"" (eu tenho certificado TOEFL de Proficiência em Inglês; o que, no caso em questão, me habilita a ouvir, falar e escrever/ler em Inglês) e ele foi super cínico para repetir o que falou, ficou dando risada na minha cara e olhando para os outros funcionários. Um cara bem sem noção. A loja em si é bem bonita, diferenciada e tal, mas este rapaz me decepcionou.","3"
"2018-10-11","No change?????","9:16am in the morning on a busy Thursday. Buying coffee for the family... busy place ...
And Im forced to pay by card because they don’t have change???!!!!????
Not acceptable.
Money has to be accepted any time any day.

","1"
"2018-10-07","Typical New York cafe","Take away is the main trade here as no real seating areas. All food and drinks are typical of Starbucks around the world. Has soya milk for those on lactose diet at no extra charge.","3"
"2018-10-01","Nice way to start the day!","Oh my God!  Starbucks are everywhere in NYC.  Lines are long and the baristas not as quick in serving as California. But, the product is the same and goes down just as well to start the day off right.","4"
"2018-09-29","Colazione buona, veloce ed economica","Non si puo' andare a NY senza passare da Starbucks, è una vera istituzione, senza dubbio la catena di Coffee Shop piu' famosa al mondo, si trovano praticamente ovunque in citta'.  Il servizio è rapidissimo, tipicamente americano, un po' diverso da quello a cui siamo abituati, personale gentile e simpatico. Tutti i locali sono carini e puliti,  con posti a sedere, dotati di connessione wi-fi e presa per ricaricare il cellulare.  Il cappuccino non è come quello italiano, con la schiuma, ma è comunque buono, sono a disposizione zucchero, cacao, cannella e altri ingredienti da aggiungere a piacimento, li consiglio.  I muffins ai mirtilli e gli scones alla fragola o lamponi sono buonissimi,  meglio farseli scaldare, da provare assolutamente il loro famoso Frappuccino in versione medium, con la panna sopra,  veramente squisito, quello al caramello è qualcosa di unico, ideale per una pausa.   Un' ottima soluzione  per una  buona colazione, veloce non troppo costosa.","4"
"2018-09-16","So slow in Sullivan mo","I’ve never waited so long in my life for a chai tea latte, zero customers in front of me, nearly empty cafe, few cars in drive thru.....  staff seemed confused.","1"
"2018-09-04","Kafe kopi dan teh yang dilengkapi dengan free wifi","menyajikan kopi dan teh serta makanan kecil untuk menemani anda bekerja, dan hampir semua starbuck menyediakan free wifi sehingga anda dapat mengerjakan pekerjaan anda disini sambil menikmati kopi favorit anda","4"
"2018-08-26","Tynn kaffe","Vi valgte kjøpe oss et par kaffe til å ta med fra denne Starbucks-cafeen. 
Som så ofte synes jeg amerikansk kaffe er tynn, så jeg ba derfor om å få en espresso-shot i tillegg opp i koppen. Jeg synes fortsatt kaffen var svak, men valgte å ikke bestille noe mer. Servicen var litt treg, og navnet mitt ble ikke ropt opp når kaffen min var klar. ","3"
"2018-08-21","Perfetto","In times square non era un granche'...ma da uniqlo sulla 5th mi sono rifatta!!! Un espresso macchiato meglio di tanti bar italiani","5"
"2018-07-28","一貫水準","咖啡竟然比香港還要便宜，而且有很多花款，但我不喝凍的！牛角包🥐朋友誤會了買了個甜餡的，幸好不是美國標準的甜！","4"
"2018-07-28","Starbucks to go","Chi va a New York e non entra negli starbucks????sfido chiunque a non entrare!!
Puoi ordinare dalle colazioni,belle ricche con bevande calde o fredde!
Puoi fare un piccolo pasto a pausa pranzo,e mangiare dei dolci ottimi!!
Noi prendiamo sempre il frappuccino con la panna!!una delizia per il palato,soprattutto in estate!!!
","5"
"2018-07-26","コーヒーおいしい","朝、観光開始前にコーヒーが飲みたくてスタバへ。日本と違ってトールサイズからの注文になります。日本みたいにおかわりの仕組みはないけれどその分お値段は安めでした。

ニューヨークの雰囲気の影響ではなく、普通に日本より美味しかったです。お店によっては店員さんが踊ってたり自由でした。さすがアメリカ。","4"
"2018-07-24","C’è di meglio","Famosa catena americana, molto costosa e con ingredienti medio bassi! Per colazioni o spuntini molto meglio altro ","3"
"2018-07-13","La mitica colazione americana take away ","Location invidiabile
Rapidissimo il servizio
Pulito il locale 
Tutto come bello stile starbucks con un tavolinetto particolare: presa per caricare il cell, divenetto e vista time square 
Per me è si!","5"
"2018-06-25","Catena americana","Sicuramente la catena americana di Coffee bar più famosa,noi siamo andati una sola volta e diciamo che è accettabile ","4"
"2018-06-11","As expected - good aervide","You get what you expect with Starbucks.  It’s pretty good, doesn’t cost too much.

But where is the caffeine free English breakfast tea???","5"
"2018-06-05","Disgusting","I went in to buy a coffee and I did. The staff was friendly. I had to use the bathroom. It was disgusting with a lot of water (I hope) on the floor. It was late but I expect these facilities to be clean at all times.","5"
"2018-05-31","Хорошее место для утреннего кофе.","Не так много людей. Не так много суеты. Работники отзывчивые. Завтракал здесь несколько дней подряд.","5"
"2018-05-22","Super Tienda...","Tiene un Montón de Souvenirs de NY - esta bien ubicada la atención es media desordenada pero manejable","5"
"2018-05-11","In love with the Green Tea Frappuccino ","I have to say that I recommended this place, it’s very comfortable for light chitchat. My favorite drink is the green tea Frappuccino with caramel drizzled on top. If you have a chance to try it enjoy:)","5"
"2018-05-10","Cafe normal y muy caro","Es cierto que todo es mas caro en NY y mas en Broadway pero por la calidad y la atencion no vale la pena, hay mejores","3"
"2018-05-09","Matcha green tea","Je dois dire que je suis tombé sous le charme du marcha tea latte au lait de coco ! Très bon goût et l’accueil était parfait !","4"
"2018-05-04","Great service ","Coffee was good as usual! Busy place but they got our orders in a timely manner. The store was clean. ","4"
"2018-04-25","Starbucks - a waste of time","Starbucks have great large lines and should have consistent service. Starbucks was empty when I walked past however when I came back there was an exceedingly long line to order!!! When I came inside there were really less options for kids to have something to drink even though it was a Starbucks Coffee shop there was no only Starbucks shop that I could see. So the only option was a Frappuccino so finally when I got the chance to order {10 minutes later} I told them what I wanted. The price was mid-ranged but when we were waiting the person before us got served first. It was so unfair because we waited for 10 minutes!!! And when we received the Frappuccino it was just coffee with the entire cup full of ice and caramel only on the top of the Frappuccino!!! I believe that the ice really wasn't suitable for freezing day and that Starbucks isn't a place for children to have something to drink. ","2"
"2018-04-20","Starbucks in Times Square..","It is different as crowds (even on a weekday) take the patience away from the usually polite Starbucks staff.. Dark Brown Coffee, Cookies and free Wifi remain the same as in any other Star Bucks..","3"
"2018-04-15","Too noisy","Classic Starbucks with usual selection of food and drinks. Seating space on upper floor when open. Very few seating on street level. Big minus: excessively loud music background which makes talking or reading impossible. ","3"
"2018-04-10","It's Starbucks","Most Starbucks are consistent. When you order a decaf ice latte at one it tastes the same as another store. I got my drink. I guess I was lucky there was no crowd. It is expensive for ice coffee.","4"
"2018-03-18","いつも混んでいます","最高の立地なため、いつも混んでいます。フリーワイファイがあるので、それを目的に来る人多いようです。店内は広くて、いろいろなタイプの席があります。ニューヨーク限定のかっこいいマグカップやタンブラーが売っているので、観光客にも人気です。","4"
"2018-03-04","Average Service","When we went to this Starbucks it was around 4:30 pm and they were not very busy but staff was not courteous or friendly. It took them a while to fill our order of tea, coffee etc. Quality of our drinks was as expected in any Starbucks","3"
"2018-02-20","Café","Adoro essa cafeteria, delícia de lanchinhos e excelente atendimento sempre ! Recomendo um café da manhã nesse lugar .","5"
"2018-02-19","Worst Starbucks experience globally, ever!","Rudest server. Unfriendly. Didn’t feel like u was in a starbucks! I always take a Starbucks parfait if I’m near one for breakfast.  Asked if she had any parfaits, she said no, what’s that. Her colleague next to her said they don’t, but that they have yoghurts. I grab one and it clearly stated ‘Parfait’ in the top label of the pot. I show the server and she grumpily shrugged her shoulders and said “well we don’t call it that here, it’s a yoghurt”....really!?  Very unfriendly!!","1"
"2018-02-15","RUDE STAFF!","Went here for a quick coffee brake with co-workers after a meeting. The staff were incredibly rude and exuded everything opposite of professional customer service. Our drinks were mediocre to say the least, there was a beautifully drawn sign indicating on asking the staff on ""Helping Trees"" for further information - I being the believer in environmental love simply asked the woman barista, she scoffs and answer me, ""Just about trees and donations, nothing else!"" I  chuckled on how insanely rude and obnoxious she was, responded sarcastically to her and walked away. Never again will we go to this particular Starbucks!","1"
"2018-02-13","Preço médio, mas vale o preço","Tem um chocolate quente muito bom, ótimo para os dias frios e também para compensar a saudade e a falta de um verdadeiro café do Brasil. Tem bons lanches até para vegetarianos. Vale a pena.","4"
"2018-02-07","Café da manhã","Excelente localização! Preço justo, qualidade garantida! Wi-Fi liberado, ambiente agradável, atendimento rápido!","5"
"2018-01-20","Colazione a time square","Dopo attimi di attesa, potrete gustare i migliori Cinnamon bun e ottimo pumpkin spice latte oltre che American coffee. Consiglio veramente un passaggio ","5"
"2018-01-18","Syarbucks una conferma....sempre","Tutti gli Starbucks a New York sono fantastici, dai piu' grandi a quelli piu' piccoli....
Dico sempre che Starbucks ti accoglie a braccia aperte...
Se piove ti ripara,
se fa' freddo ti scalda,
se fa' caldo ti rinfresca
ti da' il Wifi anche se non spendi nulla ( ma un caffe' prendetelo sempre...)
Ti da' il bagno, che a New York e' fondamentale...
E poi credo che sia una delle catene migliori al mondo....
e non a caso colleziono le loro tazze da tutto il mondo!!!
Sbrigatevi ad aprire a Roma....","5"
"2018-01-17","Muito frio 😂","Acho q fomos em umas 10 unidades estava muito frio é tomávamos chocolate quente a todo momento. Preço justo. Em todas era padrão vinha sempre igual impecável. O Wi-Fi era sensacional vc conecta em uma é isso basta quando entra nas outras fica automático. Atendimento rápido. Não conseguiram acertar meu nome cada hora era uma coisa kkkk 😂. Mas recomento muito bom. ","5"
"2018-01-17","Cafe ","Tomamos um belo chocolate quente, aliás, varios, única forma de se esquentar no frio de -12 graus, muitas opções.","5"
"2018-01-12","Parece uma bodega americana","Lugar detestável, música altíssima,  parecia uma casa noturna, sujo e  com péssimo atendimento. Não recomendo essa loja.","1"
"2018-01-12","Caffè da passeggio antifreddo","E’ un must passeggiare a New York, specialmente in inverno con un bicchierone di caffè caldo che ti scalda sia il corpo che le mani . Abbiamo anche fatto spesso colazione con Frappuccino e muffin la mattina appena usciti dal l’hotel , e prima di iniziare lo shopping a temperature glaciali !","4"
"2018-01-01","Starbucks : une valeur sûre","Bonne adresse pour les petits-déjeuners. Les boissons chaudes sont très bonnes et les gâteux sont copieux et délicieux. Les tarifs sont raisonnables, ce qui permet de remplacer les prix sont chers des petit-déjeuners des hôtels de Times Square. Attention toutefois de ne pas y aller aux heures de pointes, l'attente peut être longue.","4"
"2017-12-31","Colazione veloce","Siamo stati una settimana a New York è quasi tutte le mattine abbiamo fatto colazione alla starbucks, due panini e un espresso 12 dollari , consiglio di andare mattino presto altrimenti il locale è assalito dalla folla, il personale è disponibile  e veloce .","3"
"2017-12-28","Bella esperienza","Ovviamente non vi aspettate di entrare in un Bar come foste in Italia, perché anche il concetto di colazione è totalmente differente. Starbucks offre un servizio diverso, ma molto particolare e tipicamente  Americano. Ci sono “caffè” più buoni di alti e in generale dovrete sperimentare molto, la cosa molto carina e che potrete aggiungere altro: zucchero, cioccolata e altri ingredienti anche dopo aver ritirato il prodotto. Inoltre tutti gli starbucks sono dotati della WI-FI e di posti a sedere, solitamente usate come postazione per lavorare mentre si beve il bibidone. Consigliato! Assolutamente da provare se si va in America. ","4"
"2017-12-27","Nella media","Buon servizio, si ha tutto quello che ci si aspetta da uno Starbucks. Grande spazio per il passeggino, ma abbiamo trovato il tavolo con ancora tracce di zucchero sparse sul legno.
I dolci sono buoni, ma carichi di zucchero e burro. Se siete a dieta o diabetici fate attenzione.
Se capita ci ritorneremo.","3"
"2017-12-22","Coffee shop with a differance","This is the most popular coffee shot in New York City, service was good, coffee was excellent, atmosphere was nice and warm, people were very friendly, weather was cold but one find warmth once inside Starbucks Coffee Shop.","3"
"2017-12-16","PFFT","I know that all Starbucks don't offer decaf in the afternoon (which doesn't make any sense in an of itself....isn't that when MOST people want decaf?)   but these guys were obnoxious about it.   He looked at us like we were asking for coffee laced with gold.   My Starbucks at home will do a ""pour over"" which takes a few extra minutes but worth it for that occasional afternoon coffee craving without the caffeine.   Oh well.....welcome to NYC.","2"
"2017-12-13","Как везде в мире - быстро, сытно, с бесплатным wi-fi","Нас в холодную снежную погоду Старбакс спасали! Что такое -5 -10 в НЙ мы теперь знаем не по слухам)) Представьте себе -50 в Сибири, приблизительно то же самое! Бррррр Это было в каком-то очень холодном январе, 2015 вроде.","5"
"2017-11-28","Tristezza più assoluta","Indipendentemente dal fatto che  cappuccino/ caffè che non si avvicinano minimamente a quelli italiani
1- per il prezzo (5 $ l'uno circa)
2- per la velocità (attese anche di 20 minuti)
3- per la qualità (dubbia)

È una tristezza quello che questo posto ha creato:
Una massa di clienti ebeti che stanno a bere il proprio caffè con la faccia apatica, fissa su uno schifoso iphone, scroccando il wifi gratuito.
Non c'è una coppia di fidanzati, di amici che si scambiano una parola. 
Se il futuro è questo uccidetemi. Se starbucks continuerà ad aprire in Italia uccidetemi 2 volte. 
","2"
"2017-11-25","Quando il nome","Catena mondiale famosa per i frappuccini  nelle svariate sedi newyorkesi sempre affollato ma, a mio gusto, provato 2 volte e non mi sono piaciuti ","2"
"2017-11-22","Bad","This place was bad the long was long and the service was horrible. They gave me the wrong order and didn’t replace it. Never coming back.","2"
"2017-11-21","Halbe Stunde auf nen Kaffee warten ","Eigentlich ein cooler Kaffeeladen, wenn man viel Zeit hat und einem das Geld nicht so wichtig ist. Wie gesagt, halbe Stunde auf nen Kaffee gewartet  ( bestellt und bezahlt hatte ich vorher in 30 Sekunden )
Trotzdem,  man hat einen tollen Blick auf den Times Square, kostenloses W-lan und die Geschmacksrichtungen  ( Peppermint Mokka ) gibt es zu Hause auch nicht mehr. 
Also, nicht drüber ärgern und NYC genießen. ","3"
"2017-11-19","Great cappuccino, and dessert","We enjoyed a hot cappuccino and white chocolate mocha with some lemon pound cake.  Coffee was hot, fast and fresh.  Nice to sit and visit before the show :)","5"
"2017-11-13","Cookie","Salve.starbucks nn ha bisogno di presentazioni lo trovi ovunque e sempre buono.da napoletano riesco a farmi fare un espresso buono nel bicchiere però.e ottimi dolciumi....ooo che bonta..","3"
"2017-11-12","Quality Coffee and Super desserts ","One thing about Starbucks is they always been in servicing quality coffee. The soothing taste at very right temperature with affordable prices for travellers. The customer services has always been an excellent appeals for Starbucks cafe. Always get satisfied :)","5"
"2017-11-11","gezi esnasında mola vermek için","kahvesi mükemmel fiyatı uygun interneti var tuvaletleri temiz  çalışanları güler yüzlü ve yardım sever","5"
"2017-11-06","Great for breakfast on the go","I was running around Times Square and ducked into Starbucks on my way back to the hotel and grabbed their seasonal Creme Brûlée Latte and a Sausage Muffin, it was about $8 so pretty good value and both the muffin and coffee were good. I didn’t see any seating inside, so don’t know if they had any upstairs but something to keep in mind. ","4"
"2017-10-28","Tem que ir","E uma instituição para um ótimo café a qualquer hora 
Lanches gostosos e sucos ótimos 
Tem vários e em todos os bairros da cidade","5"
"2017-10-20","service with a bad attitude !!","snarky and rude barista at the 42nd Street Store...even though they are open 24 hours, if you have to get a shot of coffee you might as well get it from a rude barista at this location. she was definitely having a bad day ... she even wore her Starbucks uniform inside-out.  The latte was only OK.","2"
"2017-10-14","Ottimo","Ottimo come sempre!
Come in tutti gli starbucks il wifi e gratis il servizio è veloce e il personale è gentile, consiglio! Inoltre ny è cara e starbuck bene o male rispetta il suo standard di prezzi ","5"
"2017-10-09","Starbucks mit Sitzplätzen","Nach langem suchen, haben wir dieses Starbucks gefunden, welches genug Sitzplätze hat. Die Preise bei Starbucks sind nicht gerade niedrig, allerdings sind Getränke und Essen super lecker! Die Bedingungen ist auch sehr freundlich.","5"
"2017-10-08","עמוס ...יש קושי למצא מקום ישיבה","בתי הקפה של סטארבאקס מאובזרים בצורה שונה מהמולנות דרך בתי הקפה באותו רחוב

יש בתי קפה שאין מקום ישיבה ואתה עומד ..ליד דלפק ואחרים עם מקומות ישיבה 

הקפה אותו קפה. וגם המילקשייק ברוב המקרים 

השירות משתנה מסניף לסניף .","3"
