"publishedDate","title","text","rating"
"2023-10-07","New York","un lugar único y donde tuestan el café allí , a demás una panadería y te hace muestra de café ,  una zona donde puedes sentarte y espacio muy amplio","4"
"2023-09-26","When you put all the money in the build-out, and forget completely about client experience!","This place os a disaster! Look is great and the location can’t be better but it takes forever to have simple things (20minutes for an expresso!!!), and the staff behave like jerks, kind of « I’m too cool for you, you cannot understand ». 
On top, most of Starbucks regular drinks are not offered here (probably the Chai is not hype enough?).
What a disappointment!","1"
"2023-09-23","Amazing gourmet Starbucks under the Empire State ","This is a gorgeous gourmet Starbucks at the ground floor of the Empire State building. They have a basement level with dining tables and they also serve alcohol.
Starbucks gourmet coffees, gorgeous sandwiches all baked in house.
Great place to stop if you are near the Empire State. I would go here every day if I could. Just love this place. Beautiful ambiance. Great for a date or with a big family.","5"
"2023-09-13","Péssimo atendimento e experiência.","Atendimento péssimo. Funcionários mal educados. Serviram errado, depois a bebida veio fria por ter ficado largada em cima de um balcão.
Não serviram na xícara pois alegaram que não queriam lavar louça.
Fui duas vezes, para ver se não tinha dado azar.
Mas em ambas as visitas a experiência foi horrível.
A proposta do lugar é legal, porém o atendimento e o serviço são lamentáveis.
A nota é 1 por não ter uma nota mais baixa.","1"
"2023-09-03","Amazing! Loved it but not the dogs’s flees inside","😊The experience is amazing.  The bakery staff is fantastic! I wish I’d asked for the name of the African American young baker who gave me amazing service.  One can tell this is not a job for her, it’s her passion! The baked goods are amazing!!! Try the raisin and pistachio swirl roll (like a cinnamon roll or pain au raisin) food and coffee are 10 out if 10

🙁The only downside is that customers bring their dogs in and some have flees.   I had lots of flee bites which stopped when I sprayed my legs with sanitizer. I wish dogs were not allowed.  But it seems almost all cafes allow dogs inside.","4"
"2023-08-26","Tanto fumo e poco arrosto","Il posto è bellissimo quasi come quello di milano ma il caffè arriva freddo senza cucchiaino e l’acqua te la servono in bicchierino di plastica mollicci. In più se la tirano come se fosse un 3 stelle. Tutta la vita la colombe recensita ieri!","2"
"2023-08-11","Impolite Staff","I was waiting for about more than 20 minutes, even at the time I ordered, only two other persons were there. I asked once, when I will get my Coffee, but nothing happens. Because I had to reach my train, I asked a second time and at this moment the staff were shouting at me…….
It was at Starbucks at Pennstation in NYC.","1"
"2023-08-02","Humbled ","Had a problem with the cashier. however, Patty/ie resolved the issue. Very lovely lady. I would only go there or recommend that spot on Pearl and  Hanover because of her beautiful spirit and service. 

Thank you Patty 💕","4"
"2023-07-22","Good coffee at Starbucks, who'd have thought?!","After the empire state building we wanted a coffee so stopped in. The downstairs isf rankly confusing as it's not a shop and not a Starbucks. I think it's a boutique and I think it sells drinks but I can't be sure.

Upstairs is a cafe/restaurant and very nice it is too. It isn't the standard overly milky coffee either but will sourced beans brewed and served as coffee. The food is good too. None of it is cheap though.

I had a cold brew flight including a bourbon matured coffee ($30 for 300g was too expensive even for me). The olive oil latte my wife had was nice too with the olive oil adding a creaminess to the drink.

Overall with the experience of you have the money. And like coffee.","5"
"2023-07-16","جيد ولكن","المكان حلو ويستحق الزيارة والخيارات كثير لكن لا يضاهي الموجود في ميلان ولا في شانغهاي.. خيارات الكيك متنوعه لكن الطعم نص ونص .. كما ذكرت ليس في مستوى الدول الاخرى","4"
"2023-07-01","Excellent coffee but don’t buy special reserve beans","We sat by the bar to order drinks. My husband ordered the affogato with whisky barrel reserved cold brew and it was excellent! We also got a complementary appetizer item, which was yummy! We bought the special reserve whisky barrel beans which was very expensive and when I opened it, I realized it’s half filled and it cost $42! We were extremely disappointed with this purchase!","3"
"2023-06-20","Druk, maar mooie locatie.","Leuk om binnen te stappen. Giga druk, maar na een paar keer rondlopen konden we een tafeltje bemachtigen. Daarna moet je in de rij gaan staan om te bestellen. Je krijgt een buzzer mee waarmee je vervolgens je drankjes weer kan ophalen. Twee latte machiattos daar drinken kost je $18. We kregen deze in grote ronde mokken. Vraag specifiek om “klein” als je dat wil aangezien ze standaard “groot” serveren. Wel lekker natuurlijk. To go is ook mogelijk, maar dat kan je beter bij een andere Starbucks doen vanwege de drukte.","4"
"2023-06-06","Amazing food","This is my favorite Starbucks.
The place is clean, and the food is amazing,my favorite is Tiramisu.
It also has a lot of space.
People that work there are very friendly.
I will go there again.
","5"
"2023-05-29","Disappointment","After visiting Milano Roadstery it was a huge disappointment. NY looks like a poor copy of Milano. Less variety of coffee, smaller venue and machines do not look that impressive.
We tried a few coffees, and nothing special - only Arabica blends. I was expecting an experience, but I just got not that tasty coffee.
There are many areas to improve - coffee variety (not only Arabica blends!), bar tender skills (they could mix the coffee drinks instead of just putting stuff together), line management (people got confused about what you can order on each level).
The store is fine.","3"
"2023-05-27","Sándwich frio","El lugar no tiene para servir alimentos calientes, nos sirvieron el sándwich frío y no posee conectividad para computadores ni enchufes 🔌 ","2"
"2023-05-22","sbucks","Love starbucks. My favorite time spent here as I was on my business trip. I love the matcha drink :)","5"
"2023-05-21","Check In the Box","Over rated. I was determined to go but they were rude. They also do not enough sitting and no charging stations. To charge my phone I was told to go a different Starbucks. They had a nice sample. It was a whiskey cold brew coffee. They had a lot of over priced food. The merchandise section was a little overwhelming. Starbucks is a lifestyle here. It was different and a check in the box. I got a little espresso cup to prove it. Lol","3"
"2023-05-12","Disappointing and Chaotic Experience at Starbucks Reserve Roastery","I recently visited the Starbucks Reserve Roastery, excited to try their unique offerings, but I was left disappointed by the disorganized, frustrating, and overpriced experience. I ordered multiple items, which meant I had to retrieve them from various locations throughout the roastery. This process was chaotic, and no one had informed me that I would have to wait for multiple buzzes from a single pager. It felt more like a scavenger hunt than a relaxing coffee experience.

The situation was further exacerbated when my lemonade went missing. After waiting for quite some time, I realized that someone must have taken it. I had to approach the staff to explain the situation and request that they make another one for me. They did, but this only added to the overall inconvenience and cost of my visit.

The disorganization, lack of communication, and exorbitant prices during my visit made it a stressful and unsatisfactory experience. I can only give it 2 stars out of 5, and I hope they take steps to improve their customer service, streamline their processes, and reassess their pricing for a better experience in the future.

Not coming back to check the improvement though","2"
"2023-05-12","Unique experience at Starbucks Reserve Roastery ","One of its kind ""Starbucks Reserve Roastry"" cafe across the world. The interior decor and outdoor building structure are unique. It is lovely idea to combine many products in one Starbucks shop like pizzeria, pastries, sandwiches, drinks, coffee roaster and bar. It is also clean and have good vibes. It is located in front of Chelsea Market at 9th Avenue. Highly recommended place","5"
"2023-05-03","Incrível!","Loja da rede maravilhosa, enorme com muitas opções de cafe, drinkes, bebidas e comidinhas, possui padaria e loja . Experimente o Cinnamon de creme de pistache!","4"
"2023-05-01","Place for coffee lovers","There you can try some unusual types of coffee or find a new ones (for example, Oleato). There are many seats on the separate floor and also big shop with coffee, snacks and souvenirs inside. Free wi-fi.","4"
"2023-04-16","Worth a visit even for a sceptic!","I’m definitely more a fan of the artisanal hipster brew than the mass produced fare Starbucks makes and as much as I thought this was a total tourist trap, it was still worth popping into for the experience","4"
"2023-04-08","Bad experience ","Unfriendly and unmotivated employees. Food was overpriced. And even very early standing in line because they didn’t want to open another station.","1"
"2023-02-24","Not what it used to be","I visited Starbucks Reserve in NYC a few years ago and used to love it, even when the service wasn’t ever quick, the quality of the products and the service was outstanding. It used to be the best coffee I’ve ever had in Manhattan. This time (feb 2023) not only was the quality bad (flat white wasn’t flat white but milk with a little bit of coffee, and cheesecake felt artificial), but when I approached the barista and told him gently that my coffee wasn’t what I was expected, he didn’t even try to fix it, and just gave me a vague excuse. There was no manager or anyone in charge around, noone asked why we left our cups almost untouched. The whole experience I had was not worth $7.5 per coffee or $11 for the cheesecake. Place is really beautiful, though.","1"
"2023-02-03","Visita imperdible","El lugar es alucinante, para hacer un viaje en el tiempo. Alejado totalmente de la estética típica de estos locales. Sin lugar a dudas, amerita una para en el recorrido por la zona de Chelsea, y de ser posible un cafecito con algo rico para acompañar","4"
"2023-01-24","Well worth a visit","A great alternative trip to a coffee shop. So interesting to see the roasting process and there is a great chance to buy coffee beans.","5"
"2022-12-31","You must improve","The idea is fantastic. The style can be improved. 
1. Do not bring a coffee as an offer from Starbucks. It is bot requested and the quality was not good.
2. Sugar. You want to have style and you do not leave sugar sachet on the table. Fine you mist bring the sugar with the tea or the coffee. The choice should comprise white sugar, bot only cane or dextrose. For your information white sugar is simply purified sugar that eliminate the contaminants. Guess what is going to happen if I analysed  cane sugar…
3. When you bring a brioche you must bring the brioche with a white paper.
4. The brioche should come with the coffee.","1"
"2022-12-22","Starbucks Reserve","아침 오픈전부터 입구에 손님들이 기다릴 정도 입니다. 하지만 오전에 일찍 방문한다면 워낙 넓어서 문제 될 거 없습니다. 여기서 로스팅한 빈이나 굿즈도 다양하게 판매하니 한번쯤 들려보셔도 좋을듯 하네요.","4"
"2022-11-27","Disgusting host","The most disgusting and entitled so called “host” and human being called Robert. Came straight up to me in my face to argue with my choice of moving seats due to a back pain. Shouting when all he needed was some manners. So shocked at his lack of service we instantly left. Shame that out of all the lovely New Yorkers we met on this trip, this was the last one we encounter before flying home.","1"
"2022-10-19","Not the Starbucks you expect so prepare yourself.","First of all, this is not a Starbucks like you would expect so wipe out your expectations and start over.  

This is a beautiful restaurant  that features fancy coffees and other high end sandwich and breakfast items.  There’s a greeter like Walmart welcoming you into the beautiful space.  There are coffee beans flying in plastic tubes overhead and coffee roasters all over.  There’s a bar with real drinks on the upper level.  Wasn’t open yet so can report on the quality of the mixologists or cocktails.  There are seating areas all over the place and a good location just across the street from Google NYC. 

Here’s what its not:
	-  there are no plugs available for guests.  All are covered up.  I was told that the sophisticated roasters require power that could fry a laptop plugin so to protect our computer gear, no plugs….anywhere.   Clearly what they are saying is that they do not want this venue to be anyone’s home office for a day so move on!
	-everything is more expensive  - i mean MORE expensive - than your local Starbucks so prepare to pay lots more for the glorious experience of the Rotisserie.   
	- expect long lines to place your orders.  The menu is more complex than your ordinary store and the service is slow.  Lots of theater in the process of ordering, preparing and completing your order but it just adds to the stress not to the warm expectation of a great beverage.
	-  your mobile app can work for payment but not for mobile ordering.   “We don’t do that here.”  Our bill exceeded what was on my card.  When advised, I asked about my auto reload and was told that “ sorry the reload feature does not work in this store.”  What??
	- the music can be very loud.  When I got an important call, I couldn’t find a quiet spot.  I huddled in the doorway entrance between the doors.  An employee came out and advised me that guests were not supposed to stand between the doors. “Go inside or out, not here!”
	- Bottom line, way too much time spent telling us why this is NOT the Starbucks you are used to in an effort to be way too special.  

So buyer beware.  It’s pretty and feels luxurious but its not the Starbucks you’ve come to know and maybe love.  Fancy yes, but not what I was looking for.   I’ll move a few blocks away and get back to the normal $6 cup of coffee!  Howard, save us from all this!","1"
"2022-10-13","Non ci siamo","Qualità davvero pessima, confusione e prezzi davvero fuori da ogni logica. Davvero sconsigliatissimo. Peccato, una delusione","1"
"2022-10-11","Must Go","Amazing  experience, the decoration , the lightening , everything is of a superior class. go to the 2nd floor for drinks with coffee","5"
"2022-10-03","Not what expected","No hot coffee, pizza was cold and staff was bored and not very helpful. Worst experience in Starbucks I ever had.","2"
"2022-09-30","Sweetest cashier i have ever met","We bought a cup and This sweetest lady at the counter helped us and was very kind! The best customer service ive ever gotten since my visit to new York. She had a beautiful face Black hair and Black hat. We knuckled bye - thats how close we felt to her! - give her a raise starbucks!!","5"
"2022-09-29","For die hard Starbucks fans...","Truth be told, there are places -even nearby places- with better coffee, better food, and better service. Contrary to the traditional Starbucks store friendly attitude, baristas at this roastery behave way too condescendingly. 

On the bright side, I do acknowledge the place is VERY comfortable because it is VERY spacious and wonderfully wheelchair friendly. Not many coffee shops -and neither restaurants- can afford such a huge space. And if the menu is browsed carefully, one or two really outstanding beverages might pop up.","3"
"2022-09-26","Pretty cool ","It's a pretty cool place, doesn't feel like the usual Starbucks at all. It's trendy and chic.

A bit on the expensive side but a great experience ","5"
"2022-09-20","Next level Starbucks","This is an incredible Starbucks, featuring bakery, cocktail bar, shop and huge coffee processing installations.

We opted for a standard coffee as we had already had breakfast elsewhere but I would recommend a visit to anyone for the experience.","5"
"2022-09-19","Loved the ambiance","Very nice decor. I liked the bar upstairs also. It was a little busy when we went, but the coffee was well made and didn't seem like they let down on any standards because of the rush.","5"
"2022-08-28","Pessima organizzazione: lunga attesa e servizio precario","Ci siamo recati in questo locale sabato 27 agosto a pranzo. Locale pieno di gente e una sola cassa aperta (!). Dopo circa 45’ di coda la cassa si è bloccata e abbiamo dovuto spostarci su un altra cassa. Dopo aver fatto l’ordine ci sono voluti altri 10’ per farsi consegnare un panino. Personale molto lento e disorganizzato, piuttosto disinteressato ai clienti. Musica troppo alta. Esperienza decisamente negativa.
Il cibo buono, soprattutto la pizza, ma l’attesa estenuante e il caos della gestione ci fanno sconsigliare questa scelta.","1"
"2022-08-18","Hermoso lugar","El lugar es único y bonito. de la comida no esperen mucho y el precio es alto. No hay gran variedad y como todo starbucks precios altos para lo que ofrece. Al lugar hay que entrar si o si a conocerlo.","3"
"2022-08-04","Fantastic cocktails in a fascinating setting","What a fab place. Obviously it’s Starbucks, but it’s not what you’d expect. We went to the Arriviamo cocktail bar and tried a few of the the items on the menu. I loved their take on an Old Fashioned and I also had a classic Espresso Martini. Not cheap - $100 for four cocktails, but worth it for a treat. Also there are three levels with a shop, a coffee bar, a sandwich bar and a roastery. With a visit.","5"
"2022-08-02","Amazing Starbucks Flagship","This should be in every major city in the country.  It is the mecca for coffee lovers, and the industrial look inside combined with the 1920's tote board gives this an exciting ambiance.  No frozen drinks are sold, only the special menu that they display.  Highly recommend.","5"
"2022-07-24","Maravilhoso","Mesmo se vc é avesso a rede, acha que eles são a demonstração do capitalismo sujo… oi o café eh ruim, venha mesmo assim. 
O lugar é maravilhoso. Pensado para trazer sensação de conforto. 
Coma o tiramissu. Já comi esse doce no mundo todo e o deles tem lugar no meu podium. 
Dica: tudo que vende no andar de acesso, vende no de baixo. 
Vá lá e evite filas. 
Tem água gelada grátis no balcão onde estão as lixeiras.","5"
"2022-07-17","Terrible service, little to No AC, stupidly priced that tastes horrible","My second visit to this location, it is a beautiful looking store! But looks are deceiving…. My first visit I attempted to buy coffee, waited 30 mins in line and decided to leave… crazy lines, I’m guessing their clueless for providing service!
My 2nd attempt was showcasing this location to friends from Florida. Again a line up, shorter, this time only 15 mins.
I placed an order for a black coffee and frappicino; 20 minutes later I approach the clerk whom I ordered the drinks and enquired about my order. So sorry Sir, my misplaced it in the que, will get to it now! I asked why the coffee was $7, she replied we make it fresh for you… 35 minute wait when it’s hot and humid outside and the inside feels the same way! I couldn’t finish my coffee, it was so bitter, strong and pungent… horrible. My friend suggested I add sugar, I drink coffee black for a purpose, to enjoy the flavor. Stay away, awful service, outrageously expensive and the experience was F…. Flawed!!! Stick to your stand alone stores StarGuck!","1"
"2022-07-16","Pour l’expérience, je recommande !","Un arrêt qui veut le détour! Vastes choix de café signature à discuter et beau menu pour y manger. C’est beau, ça s’en bon et les gens y sont gentils. Si vous êtes fans de Starbucks, n’hésitez pas !","4"
"2022-07-13","One of a Kind","Unlike any other Starbucks. This unique attraction has some of the best and brightest employees. Be sure to get there early when they do the roasting you don’t want to miss the show.","5"
"2022-07-13","Most Beautiful Starbucks in the World !","Want to see how a Starbucks coffee is made, watch it live (open kitchen) making of coffee and of course the exemplary customer service ever. Watch and enjoy the most incredible experience ever on a Starbucks !","5"
"2022-07-06","VISITA AGRADABLE","Durante nuestra estancia en NY teníamos apuntado visitar este Starbucks tan nombrado por algunos blogs, y la verdad que no nos decepcionó.

En comparación con los otros locales de la marca y de la zona (donde el café no valía nada), de este nos llevamos un buen sabor de boca. Los dos cafés que probamos estaban muy buenos, se nota que lo hacen con mimo. 

El local es enorme. Tiene zonas con mesas y sillas por todas partes y se está a gusto. La gracia del local, aparte de la variedad de cafés que no encuentras en otras cafeterías de la marca, es la historia que te cuentan. Simulan o muestran con detalle la preparación del mismo.

Si estás por la zona es aconsejable hacer un descansito y tomar uno de sus cafés sí o sí!","5"
"2022-07-06","Most incredible customer service ever!","A gentleman served us called Cesar. The first day we came he lit up the room. The second day he remembered our names and read a poem he wrote to us being a married couple. It Was so beautiful! Had goosebumps! Starbucks you have a gem of an employee here! Frøydis and David from Denmark","5"
"2022-05-19","Must Try!","My gf and I had this on our list to visit while in NYC. I highly recommend folks try at least a cocktail. Although it can be a bit more pricey, it is the experience. This place was packed in the afternoon. I recommend trying one of their flights they have since you will get to try 3 of their cocktail drinks. I am not a coffee and liquor combination person but these drinks were amazing! They sure know what they are doing. Highly recommend, smaller parties is ideal, larger parties of more than 4 may find it difficult for seating.","5"
"2022-05-07","Great experience","This place is a whole experience!  Fancy Starbucks, restaurant, fresh coffee grinding area and bakery area combined.  Really neat. Caution- they do not have typical Starbucks frozen drinks (ie Frappuccino). The employee though was super friendly and helpful to find a drink to sub for my 15 year old’s fave Frappuccino.  We had a very cool thing happen as we were sitting and drinking our drinks- a man came over and recited a Mother’s Day poem for me. Not sure if he was employed by Starbucks or just some random guy but it was cool. This is right across from Chelsea Market which is also a great place to visit.","5"
"2022-04-29","Pode melhorar","Bagel partido de qualquer jeito, tostado só de um lado… um pouco mais de amor melhora qualquer trabalho. Aparentava ter sido feito de qualquer jeito.","4"
"2022-04-26","Not Your Typical Starbucks","I will admit, I am not a Starbucks drinker, but I came here with some friends and really enjoyed our time. This location is not like your typical in and out Starbuck stores. When you are here, you can see how they roast beans, how they prepare your coffee as well as a part of the store that focuses on alcoholic coffee drinks too.

I ended up getting an iced mocha, which was very good. Our friends got 2 flights of different coffees, which they thoroughly enjoyed drinking! You can easily spend a couple of hours here for a pick me up!

Make sure you also check out their gift shop for some exclusive gifts!","4"
"2022-04-25","Ordered coffee for two and got only one cup","My mom and I came with two friends hoping to get breakfast. They sat us down and the waiter took our order. Brought 3 coffees and 3 meals for 4 people. We had to ask for another coffee and meal and took them  a long time. By the time we got the complete order, our friends were already finished.","1"
"2022-04-23","You NEED TO COME and try this 👇","AMAZING EXPERIENCE⚡. Feel special because they are only 6 like this in the world. 

Its no just about to drink a  coffee 🙅‍♂️. You will see how they proccess and roasted the coffee. Are you hungry?  They have a lof ot things that normally you cant eat in a regular Starbucks and the most special part is the bar where you can get a cocktail🍹, really? YES. With coffee or traditional, but dont be boring and try a Espresso Martini or something differet (price average $ 22).  If you buy a Souvenir, comment which one you get. 

I would to tell you more but I m in another place that is amazing too, the food is delicious and you can see on my Instagram @elmanudominguez ✌
(check it to see always delicious food and cool places in NYC).","5"
"2022-04-05","Spectacular facilities but poor service and crazy prices","The place is fancy and quite impressive. However, the prices charged are ridiculous and the service was lousy.","3"
"2022-03-12","WOW","This is actually a must see in NYC! The most fantastic Starbucks Ever! Stumbled upon it headed for Chelsea Market and looking through the window, it was like Whoa....whats this!
It was like the gates of Heaven opening up upon entering! A giant Starbucks with Bar, Cafe, Roastery, Sandwich Shop! It had it all.
Truley amazed and can't wait to show other people on future trips to NYC.","5"
"2022-03-08","Não liberam wc mesmo consumindo","Não liberaram o banheiro, consumimos, somos em 10 pessoas, cafés, frapuchinos, sanduíches, quando terminamos de comer, pedimos para usar o banheiro e não liberaram, disseram para usar o wc do shopping em frente. Falta de empatia, estávamos com crianças. Péssimo atendimento !","1"
"2022-02-28","Expensive, poor service and employees not letting you enjoy the coffee without mask in your table","Came to visit today, but the experience in not worthy. Had to wait more than half an hour to try a flight of coffees (that were not so good) and while I was eating my apricot tart at my table, an employee came to ask me to put my mask on (while I was eating!). Not coming back","2"
"2022-02-22","Une merveille","Une merveille 
Absolument magnifique ! 
Un endroit chic magique dans un superbe quartier 
Fan de Starbucks le passage est obligatoire 
Mention spéciale au personnel côté pizza ! Très sympathique 
Un très bon moment merci !","5"
"2022-02-14","Luxurious!","A luxurious starbucks. We enjoyed having coffee and get quick sandwiches.we waited like 10 minutes for our oder, eventhough it is a big space but it is not easy to find a seating becuase it is a busy store. They have good wide delections of sandwiches that you can't find in any regular starbucks","5"
"2022-01-30","A very good Double Espresso indeed!","I love a freshly-brewed coffee, and either brew one myself in my trusted Bialetti, or buy a barista-style double espresso from on my favourite coffee shops, on a daily basis.  Starbucks has never featured in this daily routine.   I have, however, been curious about the much-touted Starbucks Reserve thing.  It’s often talked about  as if it’s  a bit of a special club, a place for those who like to think they are coffee snobs and need something more exclusive than a humble latte to get them through the morning.  So when we passed one as we were exploring the Meatpacking District on a recent visit to New York, we paid a visit to sample for ourselves.  The long queue for entry spoke volumes. 

To explain it simply,  the difference between the regular Starbucks branch that you find everywhere and a Reserve store is this, the Reserve stores use more rare  and small-lot coffee beans that  are roasted in the setting and then brewed by baristas through different techniques like Chemex, Pour-over, Siphon, and so on. The featured coffee beans are usually only available for a limited time, so what you get at Starbucks Reserve is fairly exclusive and differs with each visit. 

It was like entering a chemistry laboratory1.   There were copper funnels, glass siphons and bottles, curious still-like furnaces and pipes everywhere.  Had it not been for the myriad of keepsakes, souvenirs and coffee-related items on sale, you would have thought you were in some kind of exclusive laboratory.  Mugs, sweatshirts, aprons and such paraphernalia in great abundance really sets the commercial scene here.

But it was about the coffee.  There’s a coffee bar of course, selling a zillion varieties and styles of coffee, along with patisseries and more substantial food items.  Ordering was a bit like being subject to an intense interrogation to determine exactly your coffee required so it could be prepared exclusively for you.  It was all a bit of fun, really. 

And the verdict?  My Double Espresso was outstanding.  My companion's Flat White was also outstanding.  Yes, outstanding! And at a price, of course.  I’d certainly have it again. 

The roastery is certainly worth a visit!  Yes, it's  a bit gimmicky, but you should get a good coffee!","4"
"2022-01-27","Experiência","Lugar encantador, bonito,sofisticado,elegante!
Uma bela experiência, com funcionários educados, um explicando sobre o
Café e as suas etapas!
Um bar lindo e amplo dentro da loja.
Os espaços são muito aconchegantes,mesmo não podendo sentar dentro da loja devido ao COVID. Compramos nossos cafés e sentamos na parte de fora da loja que conta com mesas, cadeiras e aquecedores!
Na loja podemos encontrar diversos produtos para comprar, como canecas, sacolas,camisetas, bonés, garrafas e copos para café entre muitas outras coisas.
Vale a pena visitar!","5"
"2022-01-20","Recomendado !!!","Muy buen ambiente la atención 10  puntos en comparación a otros establecimientos de la misma cadena en NY!!! Los productos variados y de excelente nivel!!","5"
"2022-01-19","Spettacolare e scenografica. Ottima selezione di caffè.","Rispetta lo stile dell'area situata tra Chelsea e Meatpacking District. Molto scenografico per il macchinario da torrefazione. Merita una vista per questo e anche le varietà di caffè serviti. 
Molto interessante. Ci sono differenti postazioni per colazione, salato e bar. Ricca offerta di gadget. 
Per ora per sedersi al bar è necessario prenotare. L'alternativa è uno spazio esterno riscaldato.","5"
